,animal_type,breed,color,age_upon_outcome,sex_upon_outcome,year,month,day,hour
366,1,4,36,365,1,2016,3,9,1137
367,0,17,79,90,4,2015,10,24,1075
368,0,77,14,2920,1,2015,1,6,707
369,0,10,10,1095,4,2014,1,23,702
370,0,53,8,3650,1,2015,6,1,1005
371,1,4,54,90,1,2017,12,12,974
372,0,108,28,2555,1,2016,7,28,0
373,1,4,12,60,1,2015,9,7,796
374,1,4,15,60,1,2016,7,9,1150
375,1,4,52,365,1,2016,6,26,963
376,1,4,30,1460,0,2015,1,28,983
377,0,2,24,60,0,2017,7,28,1356
378,0,10,22,365,4,2016,7,19,0
379,0,109,14,210,0,2014,6,24,1048
380,0,110,12,1825,1,2015,7,18,1088
381,1,4,48,4380,4,2016,4,21,1069
382,0,17,42,2190,1,2016,11,23,890
383,1,4,22,21,2,2016,6,23,732
384,0,8,8,1825,0,2016,3,3,1001
385,0,111,80,1825,0,2015,4,26,956
386,1,4,17,30,2,2013,10,25,677
387,1,4,17,330,3,2017,1,19,999
388,1,21,16,730,4,2015,10,28,556
389,2,7,6,1095,3,2016,3,22,903
390,1,51,3,60,1,2017,4,19,1040
391,1,4,73,7,3,2015,6,30,741
392,0,10,14,120,0,2013,10,13,1085
393,0,57,5,60,2,2016,5,31,1235
394,0,77,50,60,0,2015,10,27,1143
395,0,112,0,2555,0,2016,12,4,742
396,0,5,6,730,2,2016,12,18,865
397,1,4,48,60,1,2017,1,29,1049
398,1,4,12,1825,4,2016,11,15,540
399,0,17,2,365,1,2015,4,25,737
400,1,4,3,90,1,2015,10,19,1138
401,1,4,73,150,0,2013,10,27,883
402,0,113,42,60,0,2016,3,28,1090
403,1,4,9,2,4,2016,4,19,1052
404,1,21,12,240,0,2015,4,30,805
405,0,114,6,1095,0,2016,8,4,963
406,1,4,15,150,1,2016,12,31,941
407,1,4,2,1825,0,2016,6,9,1080
408,2,7,6,365,3,2014,6,1,969
409,0,5,78,365,4,2017,3,13,982
410,1,4,3,14,3,2016,5,30,0
411,1,51,77,730,0,2015,8,25,635
412,1,4,16,60,0,2015,7,11,869
413,1,4,45,90,0,2017,9,25,1133
414,1,21,36,90,0,2014,9,23,506
415,1,4,30,730,0,2018,1,26,856
416,0,98,4,2190,1,2016,12,16,681
417,1,21,12,7,3,2016,7,8,807
418,0,60,2,365,0,2014,10,5,1076
419,1,4,3,2190,0,2016,1,16,880
420,0,10,22,300,0,2016,9,20,1086
421,1,4,3,90,1,2015,7,18,1040
422,1,4,15,7,2,2017,9,6,840
423,0,2,5,60,2,2017,12,15,1001
424,1,21,73,60,1,2016,5,13,1045
425,0,115,11,3650,1,2015,5,28,1149
426,0,116,81,90,0,2017,2,7,1033
427,1,4,3,90,0,2013,10,10,846
428,1,4,52,1095,1,2015,3,3,883
429,0,10,22,365,1,2017,10,10,1109
430,0,10,61,1095,1,2017,6,3,1082
431,0,10,2,365,1,2014,2,22,729
432,0,117,8,60,1,2015,9,9,835
433,2,7,6,365,3,2016,3,27,1002
434,0,2,32,365,4,2017,5,3,803
435,1,4,16,21,4,2014,10,9,790
436,1,21,12,7,4,2016,4,8,838
437,1,4,15,30,2,2015,10,1,709
438,1,4,3,120,1,2016,12,24,694
439,2,76,51,150,2,2017,4,2,818
440,0,118,28,1095,0,2015,3,14,875
441,1,4,3,365,4,2014,12,5,540
442,0,10,10,365,0,2013,12,7,1011
443,1,4,3,30,0,2015,6,9,1038
444,2,119,52,365,3,2017,9,3,1020
445,1,4,30,14,2,2015,8,18,776
446,1,4,3,60,0,2013,10,12,1100
447,0,2,5,365,0,2015,10,11,953
448,1,4,5,365,1,2013,12,17,733
449,1,4,2,90,0,2016,12,10,837
450,0,59,10,1460,0,2015,12,20,679
451,0,57,82,180,1,2017,1,17,1039
452,0,89,18,60,0,2016,11,12,1146
453,1,107,5,60,0,2017,10,29,1077
454,0,90,11,365,0,2017,10,26,1043
455,1,21,12,60,0,2016,12,3,766
456,0,2,5,365,1,2013,11,9,688
457,0,120,14,365,1,2016,10,9,1066
458,2,40,9,365,0,2017,8,19,842
459,0,3,21,365,1,2015,12,5,681
460,0,121,2,60,0,2016,12,23,1058
461,1,21,30,30,4,2014,10,13,894
462,0,99,83,150,0,2016,7,25,1030
463,1,4,3,3285,0,2016,11,4,823
464,1,122,17,2555,0,2014,8,12,942
465,2,29,12,730,3,2014,5,13,917
466,0,123,11,730,0,2014,4,24,920
467,2,124,51,60,3,2014,6,1,736
468,1,21,36,2555,2,2015,11,10,783
469,1,4,3,7,3,2015,8,22,944
470,0,3,10,1460,4,2016,8,13,1351
471,0,15,12,730,1,2014,1,1,770
472,0,125,5,730,4,2014,7,30,762
473,0,41,5,120,2,2014,10,18,751
474,0,41,5,180,0,2014,10,27,841
475,0,2,84,1095,0,2016,10,17,1019
476,1,4,15,240,1,2015,5,5,1056
477,1,4,9,120,2,2017,7,18,998
478,0,126,55,730,0,2014,10,16,694
479,0,127,85,210,2,2013,10,27,1011
480,2,29,86,14,3,2016,5,1,705
481,0,10,22,180,4,2017,6,20,985
482,0,77,10,365,0,2017,3,28,1167
483,0,39,24,365,0,2015,6,3,904
484,1,4,30,30,4,2014,7,28,881
485,1,4,52,2,2,2014,9,4,1031
486,1,4,48,3650,1,2017,10,29,1066
487,0,128,10,365,0,2013,10,4,1134
488,0,59,10,365,0,2014,2,16,1083
489,1,4,30,120,1,2013,10,13,852
490,0,60,9,730,4,2017,4,27,804
491,0,129,10,2920,1,2017,5,7,1178
492,0,130,9,730,1,2014,11,4,909
493,0,66,14,730,1,2014,12,8,722
494,0,16,61,60,1,2017,7,30,1364
495,1,4,3,60,0,2016,6,19,1074
496,0,42,41,60,4,2013,11,26,478
497,0,131,11,365,4,2017,12,5,1079
498,0,10,0,60,0,2014,7,24,1134
499,1,4,15,21,3,2015,5,20,1139
500,0,5,32,365,4,2017,4,5,937
501,1,4,52,240,1,2014,12,26,1054
502,1,4,5,365,0,2016,9,22,959
503,0,2,6,60,3,2017,5,5,835
504,0,5,4,1095,4,2016,11,4,1139
505,1,4,5,7,4,2014,4,2,1076
506,0,88,18,365,0,2017,12,31,1039
507,1,21,12,365,0,2013,11,22,1037
508,1,21,7,120,0,2015,12,24,610
509,1,4,52,730,2,2016,11,17,733
510,0,132,2,1460,4,2017,1,28,1118
511,0,133,87,60,1,2014,11,4,1074
512,1,4,48,60,1,2014,10,31,1052
513,0,5,8,60,0,2015,1,6,698
514,0,134,14,1095,4,2014,12,12,926
515,1,4,22,2,2,2014,3,26,1017
516,1,4,64,2555,1,2014,9,21,986
517,1,4,88,14,4,2015,10,20,1032
518,1,4,15,180,1,2013,10,1,713
519,1,4,3,1095,4,2014,10,22,540
520,1,4,3,60,1,2017,6,11,943
521,1,4,3,60,0,2016,7,1,1069
522,1,4,12,90,0,2016,1,11,1130
523,0,135,43,2920,1,2016,9,21,994
524,0,136,89,730,4,2015,10,20,1151
525,1,4,22,3285,1,2017,9,24,1111
526,0,17,4,730,2,2014,5,3,754
527,0,17,4,30,4,2018,1,24,0
528,0,10,5,1095,1,2013,11,7,1012
529,0,88,6,120,0,2013,12,16,1040
530,0,10,8,1095,0,2017,3,29,867
531,1,4,16,21,3,2016,5,15,1037
532,0,10,90,730,0,2013,11,30,827
533,0,137,89,60,0,2014,4,7,742
534,0,17,18,365,1,2014,12,19,577
535,1,4,3,21,2,2016,4,5,671
536,1,4,91,365,1,2016,6,7,832
537,0,128,10,1460,1,2016,4,5,573
538,1,4,12,21,4,2014,10,29,983
539,0,10,5,365,1,2013,12,24,695
540,2,7,6,365,3,2016,10,25,559
541,1,4,5,730,4,2015,6,21,540
542,0,138,14,365,0,2014,5,13,1067
543,0,17,18,365,1,2014,12,28,1141
544,0,2,5,365,0,2017,5,9,0
545,1,4,15,90,1,2015,11,22,1095
546,1,21,86,90,0,2017,8,19,953
547,0,5,18,150,4,2016,6,28,666
548,0,139,50,150,1,2016,5,30,1169
549,1,4,2,30,0,2017,5,3,1090
550,0,17,6,1095,2,2014,8,12,1079
551,2,40,31,365,3,2015,3,16,1088
552,2,140,92,365,4,2014,2,4,670
553,1,4,12,1,4,2016,7,11,837
554,1,51,7,180,0,2015,11,25,1011
555,0,141,93,60,0,2016,7,30,729
556,0,57,80,365,0,2014,6,14,1032
557,2,142,14,365,4,2015,10,6,1136
558,1,4,12,21,2,2015,5,17,1128
559,1,4,94,365,3,2014,1,3,1040
560,1,4,73,730,1,2015,12,5,863
561,2,140,52,365,4,2017,4,26,915
562,0,143,21,2190,0,2015,3,12,795
563,0,10,17,730,2,2014,5,7,1087
564,1,4,3,60,1,2014,8,13,1123
565,0,2,5,1095,0,2015,1,25,701
566,0,144,49,60,1,2016,1,27,1114
567,0,17,6,1095,0,2014,6,17,809
568,0,13,24,60,1,2017,3,2,1150
569,0,145,28,365,1,2014,4,3,694
570,0,5,8,2190,1,2016,11,29,768
571,0,146,12,1460,0,2014,8,25,1027
572,0,60,9,1095,0,2015,4,28,1051
573,2,147,95,730,4,2017,4,10,787
574,0,17,55,1825,1,2015,4,9,1161
575,1,21,7,365,2,2014,7,13,540
576,1,4,48,21,4,2015,6,7,803
577,0,5,55,150,0,2017,5,29,1072
578,0,17,5,1095,0,2015,10,13,1120
579,0,2,6,120,0,2014,1,12,902
580,1,44,7,150,1,2015,8,14,1041
581,1,4,12,365,1,2017,2,24,720
582,1,4,5,2555,0,2013,12,16,1100
583,1,4,96,28,2,2014,4,17,745
584,0,17,32,365,1,2014,5,10,1098
585,0,109,0,60,1,2014,8,28,1079
586,0,148,61,730,1,2014,8,17,744
587,1,4,7,60,1,2016,6,19,1090
588,0,149,79,730,0,2016,6,25,1019
589,0,72,62,730,0,2016,10,1,572
590,0,5,8,210,1,2017,7,7,1076
591,0,93,5,365,1,2013,10,28,1073
592,1,4,7,90,1,2016,8,30,994
593,1,4,48,120,0,2015,8,29,974
594,1,4,16,14,3,2016,8,21,1030
595,0,149,2,365,0,2015,6,5,1021
596,0,98,47,365,0,2017,12,8,993
597,1,4,5,60,1,2015,12,23,1133
598,0,57,10,90,1,2016,3,14,1059
599,0,150,0,1825,1,2015,11,23,1125
600,0,17,5,365,0,2017,10,17,1014
601,0,50,44,4015,1,2015,9,26,688
602,1,21,37,365,2,2014,11,24,540
603,0,151,21,150,4,2014,1,5,790
604,0,10,9,1460,0,2016,5,7,1020
605,0,10,5,365,0,2016,9,3,1055
606,2,152,97,365,3,2014,4,20,655
607,0,10,22,14,4,2014,12,27,670
608,1,4,98,60,0,2016,6,5,859
609,0,10,21,365,4,2014,1,10,1026
610,1,4,36,60,0,2017,6,19,937
611,0,153,10,1095,0,2015,12,21,982
612,1,44,52,4380,1,2015,10,14,888
613,0,43,5,330,0,2016,11,8,1009
614,1,4,48,21,2,2017,10,7,740
615,1,4,48,14,2,2017,3,28,778
616,0,60,9,730,1,2013,12,8,870
617,0,10,22,365,0,2014,12,8,1090
618,0,154,18,365,0,2017,4,13,1032
619,0,155,9,1460,0,2017,10,5,732
620,1,4,99,365,2,2018,1,31,1085
621,1,4,52,30,2,2014,5,21,756
622,0,10,10,3650,1,2016,12,5,1066
623,0,10,12,150,4,2014,4,18,721
624,1,21,3,1460,1,2016,2,1,825
625,1,4,3,60,0,2016,6,19,796
626,1,4,5,60,0,2015,8,21,943
627,1,4,52,4015,1,2017,11,13,861
628,0,41,5,2190,1,2016,5,31,677
629,0,17,0,730,0,2017,1,7,1041
630,0,42,80,730,0,2014,8,10,1147
631,0,3,100,365,1,2016,6,19,1060
632,0,16,101,730,1,2016,9,30,846
633,0,156,42,3650,1,2015,1,6,851
634,0,10,22,730,1,2016,1,16,1032
635,2,140,14,210,2,2014,8,5,806
636,0,157,92,1095,1,2014,3,5,1120
637,1,4,5,21,4,2017,7,11,1083
638,1,4,10,120,4,2016,7,10,540
639,0,2,102,60,1,2013,11,14,1007
640,1,4,52,90,1,2015,8,21,1101
641,1,4,3,90,2,2015,7,26,540
642,0,2,2,30,3,2017,2,26,629
